UF,Cidade,Índice
SC,Aguas Frias,"10,00"
PB,Alagoa Grande,"10,00"
ES,Alfredo Chaves,"10,00"
SP,Altinópolis,"10,00"
SP,Américo de Campos,"10,00"
RJ,Angra dos Reis,"10,00"
BA,Antas,"10,00"
SC,Apiúna,"10,00"
CE,Barreira,"10,00"
SP,Batatais,"10,00"
MG,Belo Horizonte²,"10,00"
SC,Bom Jesus do Oeste,"10,00"
MG,Botelhos,"10,00"
SC,Botuverá,"10,00"
DF,Brasília²,"10,00"
RO,Cacaulândia,"10,00"
MG,Capim Branco,"10,00"
ES,Cariacica,"10,00"
PR,Clevelândia,"10,00"
ES,Conceição da Barra,"10,00"
MT,Cuiabá²,"10,00"
PR,Curitiba²,"10,00"
SE,Estância,"10,00"
CE,Fortaleza²,"10,00"
MG,Gonçalves,"10,00"
SC,Guabiruba,"10,00"
BA,Guanambi,"10,00"
SC,Ilhota,"10,00"
SC,Imbuia,"10,00"
MS,Inocência,"10,00"
BA,Itabuna,"10,00"
BA,Itapitanga,"10,00"
MS,Jateí,"10,00"
RO,Ji-Paraná,"10,00"
SC,Joaçaba,"10,00"
MS,Ladário,"10,00"
SC,Laurentino,"10,00"
SC,Luzerna,"10,00"
RJ,Macaé,"10,00"
AL,Maceió²,"10,00"
PB,Marcação,"10,00"
SC,Marema,"10,00"
BA,Matina,"10,00"
PB,Monte Horebe,"10,00"
RJ,Niterói,"10,00"
MS,Nova Andradina,"10,00"
SC,Palmitos,"10,00"
SC,Papanduva,"10,00"
MS,Paranaíba,"10,00"
BA,Paripiranga,"10,00"
SC,Ponte Alta,"10,00"
SC,Presidente Castello Branco,"10,00"
SC,Presidente Getúlio,"10,00"
SC,Presidente Nereu,"10,00"
SC,Quilombo,"10,00"
CE,Quixeramobim,"10,00"
PE,Recife²,"10,00"
RJ,Resende,"10,00"
AC,Rio Branco²,"10,00"
MG,Rio do Prado,"10,00"
SC,Rio dos Cedros,"10,00"
RS,Rolante,"10,00"
MA,São Luís²,"10,00"
SP,São Paulo²,"10,00"
RJ,São Pedro da Aldeia,"10,00"
PE,São Vicente Ferrer,"10,00"
PE,Serra Talhada,"10,00"
RS,Taquari,"10,00"
SP,Tietê,"10,00"
RS,Tio Hugo,"10,00"
RJ,Valença,"10,00"
SC,Vargeão,"10,00"
PB,Várzea,"10,00"
SC,Vidal Ramos,"10,00"
SC,Vitor Meireles,"10,00"
ES,Vitória²,"10,00"
MT,Agua Boa,"9,72"
SC,Agua Doce,"9,72"
PB,Alhandra,"9,72"
SC,Benedito Novo,"9,72"
MG,Bicas,"9,72"
SC,Blumenau,"9,72"
PB,Cajazeiras,"9,72"
RS,Canoas,"9,72"
MS,Corumbá,"9,72"
PB,Dona Inês,"9,72"
BA,Jaguaripe,"9,72"
ES,Laranja da Terra,"9,72"
RJ,Nova Iguaçu,"9,72"
PB,Pedro Régis,"9,72"
RO,Porto Velho²,"9,72"
ES,Presidente Kennedy,"9,72"
SC,Santa Rosa de Lima,"9,72"
TO,Santa Rosa do Tocantins,"9,72"
ES,Santa Teresa,"9,72"
SP,Vinhedo,"9,72"
SC,Zortéa,"9,72"
PB,Araçagi,"9,58"
SC,Ascurra,"9,58"
RR,Boa Vista²,"9,58"
PE,Brejão,"9,58"
PE,Caetés,"9,58"
MG,Campanha,"9,58"
RS,Campestre da Serra,"9,58"
SC,Celso Ramos,"9,58"
MS,Dois Irmãos do Buriti,"9,58"
SC,Fraiburgo,"9,58"
SC,Gaspar,"9,58"
SC,Ibicaré,"9,58"
SC,Ipumirim,"9,58"
SC,Iraceminha,"9,58"
PE,Lagoa do Ouro,"9,58"
SP,Limeira,"9,58"
PR,Mamborê,"9,58"
