,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
0,"7.000,00","0,9171",1,"0,6700",0,3,"1,0000",4
1,"300.000,00","1,0000",1,"0,0000",0,4,"1,0000",3
2,"44.000,00","1,0000",0,"0,0000",0,5,"0,3869",1
3,"18.000,00","1,0000",0,"0,0000",0,6,"0,9400",1
4,"46.920,00","0,4087",0,"0,0000",0,7,"0,0469",1
5,"37.516,60","0,9329",1,"0,7500",0,8,"1,0000",4
6,"9.887,78","0,9325",0,"0,0000",0,9,"0,2261",1
7,"10.000,00","1,0000",0,"0,0000",0,10,"1,0000",1
8,"342.000,00","1,0000",0,"0,0000",0,11,"0,0523",1
9,"350.000,00","0,9994",1,"0,0000",0,12,"0,6568",3
10,"14.875,92","0,8551",0,"0,0000",0,13,"0,1800",1
11,"59.887,33","0,6300",0,"0,0000",0,14,"0,0797",1
12,"6.600,00","0,9683",1,"0,6700",0,15,"1,0000",4
13,"14.983,93","0,9009",0,"0,0000",0,16,"0,2162",1
14,"17.340,00","0,0029",0,"0,6700",0,17,"0,9990",6
15,"3.200,00","0,5594",1,"0,6700",0,18,"1,0000",4
16,"603.070,66","0,9598",1,"0,3300",0,19,"0,0005",3
17,"244.694,00","0,8786",0,"0,1400",0,20,"0,0000",-1
18,"51.085,00","0,9377",0,"0,0000",0,21,"0,1834",1
19,"4.200,00","0,8333",0,"0,0000",0,22,"0,1403",1
20,"7.970,00","0,9409",0,"0,0000",0,23,"0,2226",1
21,"583.641,52","0,9300",1,"0,0000",0,25,"0,2210",3
22,"107.345,80","0,9970",1,"0,0000",0,26,"1,0000",3
23,"276.000,00","0,9957",0,"0,0000",0,27,"0,0783",1
24,"10.000,00","0,9500",0,"0,0000",0,28,"0,2617",1
25,"4.068,05","1,0000",0,"0,0000",0,29,"0,9548",1
26,"45.000,00","0,3778",0,"0,0000",0,30,"0,0402",1
27,"72.000,00","0,9167",1,"0,9700",0,31,"0,0000",-1
28,"125,00","0,6792",0,"0,6700",0,32,"1,0000",6
29,"21.000,00","0,9300",0,"0,0000",0,33,"0,2401",1
30,"5.379,82","0,9950",0,"0,0000",0,34,"0,7348",1
31,"26.400,00","0,9545",0,"0,0000",0,35,"0,2577",1
32,"65.665,99","0,8766",0,"0,0000",0,36,"0,1385",1
33,"8.000,00","0,9999",1,"0,6700",0,37,"1,0000",4
34,"110.457,48","1,0172",1,"0,0000",0,38,"1,0000",3
35,"50.088,50","0,6888",0,"0,0000",0,39,"0,1032",1
36,"267.289,24","0,9998",1,"0,0000",0,40,"1,0000",3
37,"53.000,00","1,0000",0,"0,0000",0,41,"0,3219",1
38,"82.668,03","0,7582",0,"0,0000",0,42,"0,0888",1
39,"127.222,85","0,9991",1,"0,0000",0,43,"1,0000",3
40,"36.633,86","0,5855",1,"0,0000",0,44,"0,2737",3
41,"4.279.801,71","0,7591",0,"0,0000",0,45,"0,0016",1
42,"152.992,00","0,6977",1,"0,0000",0,46,"0,3460",3
43,"4.320,00","1,0069",0,"0,6700",0,47,"1,0000",6
