id,cd_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,vl_licitacao,indicador1,indicador2,indicador3,indicador4
1281,41300,1606,2016,LEI,75500.00,1.0,1,0.0,0
1482,48800,1280,2016,LEI,14500.00,1.0,1,0.0,0
1905,62500,202409,2016,LEI,181900.00,0.35678944,0,0.0,0
2837,45200,3,2016,CNC,90000.00,1.00111115,1,0.0,0
4751,48000,1,2017,CNC,300000.00,1.0,1,0.0,0
5504,56300,2,2017,CNC,48711.40,1.0059247,1,0.49000001,0
6919,55700,61,2017,CNC,270000.00,1.00037038,1,0.0,0
8237,48000,1,2018,CNC,90000.00,1.0,1,0.0,0
8656,82900,1,2018,CNC,70000.00,1.01428568,1,0.0,0
9774,55800,1,2018,CNC,37800.00,1.00462937,1,0.0,0
13665,80700,1,2018,CNC,159200.00,1.00502515,1,0.0,0
14317,88370,32,2018,CNC,423000.00,1.18203306,1,0.0,0
14337,68000,3,2018,CNC,158776.75,1.00770426,1,0.0,0
14395,54912,50,2018,PRE,1680000.00,1.0,1,0.0,0
13,86800,4,2016,PRP,14875.92,0.85507315,0,0.0,0
21,47701,1,2016,PRP,51085.00,0.93765295,0,0.0,0
23,77200,3,2016,PRP,7970.00,0.94090337,0,0.0,0
28,77200,10,2016,PRP,10000.00,0.94999999,0,0.0,0
34,62501,2,2016,CNV,5379.82,0.99501473,0,0.0,0
38,54912,115,2016,PRE,110457.48,1.01723564,1,0.0,0
53,62700,4,2016,PRP,3973.58,0.72982049,0,0.0,0
61,53411,7,2016,PRP,26132.88,0.66965449,0,0.0,0
71,45001,7,2016,PRP,6750.00,0.7407378,0,0.0,0
78,59400,13,2016,PRP,230000.00,0.91260868,0,0.95999998,0
90,45004,33,2016,PRP,467293.65,0.66514301,0,0.0,0
93,63900,16,2016,PRP,12300.00,1.34146345,0,0.0,0
98,84100,38,2016,PRP,42480.00,1.00529659,0,0.67000002,0
109,45200,7,2016,CNV,76993.00,0.91891474,0,0.0,0
114,47700,25,2016,PRP,8984.52,0.66781533,0,0.0,0
130,77900,4,2016,CNV,63495.00,1.0,0,0.95999998,0
134,47500,11,2016,PRP,188100.00,0.85486442,0,0.0,0
138,63700,38,2016,PRP,7208.04,0.99998337,0,0.19,0
141,88029,22,2016,PRP,3800.00,0.85526317,0,0.0,0
151,55601,11,2016,CNV,2650.00,1.03773582,1,0.0,0
175,68200,65,2016,PRE,270000.00,0.92388517,0,0.38,0
181,49400,10,2016,PRP,132000.00,0.9848485,0,0.33000001,0
187,64700,12,2016,PRP,49000.00,0.93265307,0,0.22,0
191,51300,19,2016,CNV,14550.00,0.67010307,1,0.0,0
206,53701,1,2016,CNV,23004.20,1.0,1,0.0,0
